season,publisher,collection,set,number,first_name,middle_name,last_name,limited_code,limited_flag,autographed_flag
2024,SportZoo,Hokejové Slovensko,,2,Samuel,,Hlavaj,,,
2023,SportZoo,Hokejové Slovensko,Blue,3,Eugen,,Rabcan,,,
2024,SportZoo,Hokejové Slovensko,,4,Matej,,Tomek,,,
2024,SportZoo,Hokejové Slovensko,,5,Patrik,,Bacik,,,
2023,SportZoo,Hokejové Slovensko,,10,Andrej,,Golian,,,
2023,SportZoo,Hokejové Slovensko,,11,Mario,,Grman,,,
2024,SportZoo,Hokejové Slovensko,Blue,14,Samuel,,Hain,,,
2024,SportZoo,Hokejové Slovensko,,15,Michal,,Ivan,,,
2024,SportZoo,Hokejové Slovensko,,29,Robert,,Dzugan,,,
2023,SportZoo,Hokejové Slovensko,,33,Andrej,,Kollar,,,
2023,SportZoo,Hokejové Slovensko,Blue,35,Adam,,Lukosik,,,
2023,SportZoo,Hokejové Slovensko,,39,Oliver,,Okuliar,,,
2024,SportZoo,Hokejové Slovensko,,47,Miroslav,,Mucha,,,
2024,SportZoo,Hokejové Slovensko,,49,Oliver,,Okuliar,,,
2023,SportZoo,Hokejové Slovensko,Helsinské Striebro,HS-01,Peter,,Hamerlik,,,
2023,SportZoo,Hokejové Slovensko,Helsinské Striebro,HS-11,Rene,,Vydareny,,,
2024,SportZoo,Hokejové Slovensko,Jersey Fragments - Level 1,JF-MK,Matej,,Kaslik,,,
2024,SportZoo,Hokejové Slovensko,Luminous,LS-26,Tomas,,Tatar,,,
2024,SportZoo,Hokejové Slovensko,Team 20,SD-01,Adam,,Gajan,,,
2024,SportZoo,Hokejové Slovensko,Team 20,SD-08,Frantisek,,Dej,,,
2023,SportZoo,Hokejové Slovensko,Slovensko 20,SD-11,Samuel,,Honzek,,,
2023,SportZoo,Hokejové Slovensko,Slovensko 20,SD-15,Servac,,Petrovsky,,,
2024,SportZoo,Hokejové Slovensko,Special Moments,SM-12,Jaroslav,,Halak,,,
2024,SportZoo,Hokejové Slovensko,Top Prospects,TP-1,Luka,,Radivojevic,,,
2024,SportZoo,Hokejové Slovensko,1st Goal Puck,GP-17,Radovan,,Somik,,,
2021-22,Upper Deck,MVP,,2,Mitch,,Marner,,,
2021-22,Upper Deck,MVP,,3,Seth,,Jones,,,
2021-22,Upper Deck,MVP,,6,Brock,,Boeser,,,
2021-22,Upper Deck,MVP,Ice Battles,7,Alex,,Pietrangelo,,,
2022-23,Upper Deck,Ice,,8,Mitch,,Marner,,,
2021-22,Upper Deck,MVP,,9,Clayton,,Keller,,,
2021-22,Upper Deck,MVP,,11,Anze,,Kopitar,,,
2021-22,Upper Deck,MVP,,12,Josh,,Bailey,,,
2021-22,Upper Deck,MVP,20th Anniversary,15,Artemi,,Panarin,,,
2021-22,Upper Deck,MVP,Ice Battles,16,Ryan,,Strome,,,
2021-22,Upper Deck,MVP,,17,Bryan,,Rust,,,
2021-22,Upper Deck,MVP,,18,Tim,,Stutzle,,,
2021-22,Upper Deck,MVP,Super Script,18,Tim,,Stutzle,SN25,Y,
2021-22,Upper Deck,MVP,,20,Chris,,Kreider,,,
2021-22,Upper Deck,MVP,,22,Rasmus,,Dahlin,,,
2021-22,Upper Deck,MVP,,23,Jakob,,Chychrun,,,
2021-22,Upper Deck,MVP,,24,Dylan,,Cozens,,,
2021-22,Upper Deck,MVP,Silver Script,24,Dylan,,Cozens,,,
2021-22,Upper Deck,MVP,,25,James,,van Riemsdyk,,,
2021-22,Upper Deck,MVP,Ice Battles,27,Alexander,,Romanov,,,
2021-22,Upper Deck,MVP,,28,Dylan,,Larkin,,,
2021-22,Upper Deck,MVP,,29,Mackenzie,,Blackwood,,,
2021-22,Upper Deck,MVP,20th Anniversary,29,Brady,,Tkachuk,,,
2021-22,Upper Deck,MVP,,30,Ilya,,Sorokin,,,
2021-22,Upper Deck,MVP,,31,Igor,,Shesterkin,,,
2021-22,Upper Deck,MVP,,32,Kevin,,Lankinen,,,
